#	Name	Operator	Country	Area (sq ft / sq m)	Power (MW)	Status
1	China Telecom Inner Mongolia Information Park	China Telecom	China (Hohhot, Inner Mongolia)	10,763,910 sq ft / 994,062 sq m	150	Operational
2	China Mobile Data Center	China Mobile	China (Hohhot, Inner Mongolia)	10,763,910 sq ft / 994,062 sq m	150+	Operational
​
3	The Citadel Campus	Switch	USA (Tahoe Reno, Nevada)	7,200,000 sq ft / 668,901 sq m	650	Operational
4	Harbin Data Center	China Mobile	China (Harbin, Heilongjiang)	7,100,000 sq ft / 663,000 sq m	200	Operational
5	Alibaba Cloud Zhangbei Data Center	Alibaba Cloud	China (Zhangbei County, Hebei)	7,190,000 sq ft / 667,972 sq m	150	Operational
​
6	Range International Information Hub	Range International (IBM partner)	China (Langfang, Hebei)	6,300,000 sq ft / 585,289 sq m	150	Operational
7	Switch SuperNAP Campus	Switch	USA (Las Vegas, Nevada)	3,500,000 sq ft / 325,000 sq m	315	Operational
8	Google Council Bluffs	Google	USA (Council Bluffs, Iowa)	2,900,000 sq ft / 269,000 sq m	100+	Operational
​
9	CWL1 Data Centre	Vantage Data Centers	UK (Newport, Wales)	2,000,000 sq ft / 185,806 sq m	148	Operational
10	Utah Data Center (Bumblehive)	NSA	USA (Bluffdale, Utah)	1,400,000 sq ft / 130,064 sq m	65	Operational
11	Apple Mesa Data Center	Apple	USA (Mesa, Arizona)	1,300,000 sq ft / 120,773 sq m	50	Operational
12	Lakeside Technology Center	Digital Realty	USA (Chicago, Illinois)	1,100,000 sq ft / 102,193 sq m	100	Operational
13	QTS Atlanta Metro	QTS Realty Trust	USA (Atlanta, Georgia)	990,000 sq ft / 90,116 sq m	278	Operational
14	CoreSite Reston VA3	American Tower (CoreSite)	USA (Northern Virginia)	940,000 sq ft / 87,329 sq m	~60	Operational
​
15	Yotta NM1	Yotta Infrastructure	India (Panvel, Maharashtra)	820,000 sq ft / 76,180 sq m	50	Operational
​
16	Covilhã Data Center	Altice Portugal	Portugal (Covilhã)	807,000 sq ft / 75,000 sq m	12	Operational
​
17	Portugal Telecom Complex	Portugal Telecom	Portugal (Covilhã)	800,000 sq ft / 74,322 sq m	~10	Operational
​
18	Microsoft Quincy	Microsoft	USA (Quincy, Washington)	800,000 sq ft / 74,322 sq m	30-50	Operational
​
19	FRA 1	NTT Global Data Centers	Germany (Frankfurt)	613,500 sq ft / 57,000 sq m	60	Operational
​
20	DuPont Fabros ACC7	Digital Realty	USA (Ashburn, Virginia)	~550,000 sq ft / 51,096 sq m	~80	Operational
​
